kids, 362
want, 181
wrong, 355
effects, 302
feeling, 547
much, 76
had, 69
has, 47
being, 112
with, 19
watched, 296
more, 53
couple, 378
into, 83
video, 374
makes, 166
comedy, 212
could, 100
stuff, 538
off, 125
become, 413
problem, 439
worth, 290
production, 365
another, 160
night, 314
turns, 505
guy, 232
still, 131
year, 291
death, 341
isn't, 218
poor, 338
american, 298
wouldn't, 586
obviously, 540
camera, 370
special, 318
times, 211
men, 349
movies, 102
one, 31
down, 180
father, 336
boy, 430
police, 568
first, 86
get, 79
wonder, 594
sort, 432
each, 257
she's, 442
hour, 534
top, 350
point, 213
though, 151
entire, 436
watch, 106
have, 28
it's, 45
like, 40
excellent, 321
days, 504
experience, 585
gave, 520
picture, 431
goes, 271
case, 420
cast, 177
flick, 509
story, 65
kind, 243
i, 13
long, 196
nice, 327
who, 37
why, 138
he, 29
job, 292
budget, 352
gives, 408
best, 118
life, 113
child, 506
2, 241
take, 193
am, 244
an, 35
as, 17
myself, 546
beautiful, 307
set, 270
sex, 383
see, 67
anything, 233
next, 375
actors, 156
you'll, 490
hope, 440
moments, 388
it, 12
together, 295
live, 412
remember, 377
half, 320
shows, 287
seemed, 468
style, 405
real, 147
read, 332
very, 55
since, 237
put, 276
pretty, 184
genre, 512
liked, 423
else, 334
used, 343
run, 521
go, 140
anyway, 553
she, 59
written, 398
horrible, 527
never, 115
tell, 376
give, 202
matter, 551
stop, 570
is, 9
in, 11
if, 48
guys, 493
maybe, 279
killer, 455
killed, 556
those, 148
same, 172
audience, 311
making, 231
none, 600
blood, 541
throughout, 469
understand, 391
moment, 561
instead, 305
laugh, 462
works, 495
but, 21
minutes, 234
every, 175
me, 72
mr, 443
my, 61
end, 130
god, 558
got, 188
already, 460
took, 562
several, 450
head, 419
town, 513
watching, 149
late, 522
except, 549
on, 23
oh, 449
of, 7
or, 42
everyone, 316
idea, 326
woman, 255
something, 142
boring, 357
were, 71
own, 205
series, 201
second, 333
came, 385
son, 492
many, 111
around, 187
her, 41
found, 258
guess, 482
writer, 564
up, 56
us, 178
having, 260
back, 145
should, 144
, 475
daughter, 577
horror, 189
after, 103
scenes, 139
we, 75
old, 154
true, 283
can, 70
happen, 593
care, 459
history, 479
help, 339
reason, 282
alone, 584
along, 367
look, 168
actor, 284
completely, 340
such, 141
based, 448
well, 73
stories, 537
against, 429
kid, 554
human, 406
character, 109
going, 170
may, 203
man, 132
thing, 155
think, 104
eyes, 523
shot, 324
show, 123
money, 278
playing, 395
done, 224
part, 173
extremely, 576
classic, 356
obvious, 578
including, 587
although, 261
roles, 555
little, 117
name, 403
unfortunately, 472
actress, 524
his, 27
all, 32
awful, 373
parts, 531
expect, 535
feel, 235
gets, 214
made, 93
here, 133
how, 89
played, 256
things, 183
any, 101
soon, 515
time, 58
films, 108
slow, 550
where, 121
favorite, 514
complete, 601
really, 66
involved, 574
can't, 191
ago, 596
age, 559
great, 87
this, 14
doing, 399
viewer, 529
etc, 525
not, 24
told, 579
work, 157
high, 312
yes, 422
dead, 351
3, 342
couldn't, 426
two, 107
your, 129
you, 25
a, 6
actually, 165
terrible, 394
both, 199
dialogue, 414
while, 137
does, 127
becomes, 461
won't, 528
final, 477
able, 502
overall, 444
even, 60
starts, 517
bad, 78
three, 289
performance, 239
finally, 417
did, 122
main, 293
girl, 250
living, 581
stupid, 379
different, 275
violence, 567
children, 476
someone, 294
house, 313
acting, 116
particularly, 572
fine, 478
please, 591
directed, 526
at, 33
lines, 411
thought, 197
over, 120
characters, 105
he's, 240
kill, 516
far, 230
fan, 337
don't, 92
hit, 569
women, 372
will, 80
lead, 485
book, 274
music, 228
absolutely, 427
role, 217
years, 153
s, 590
wants, 494
world, 182
small, 392
past, 501
full, 368
self, 532
also, 82
sometimes, 518
last, 236
early, 402
perfect, 404
scene, 136
plot, 114
john, 308
away, 245
hand, 508
didn't, 161
now, 150
tries, 497
start, 380
stars, 381
leave, 563
close, 491
lives, 456
happens, 571
michael, 488
you're, 335
so, 38
lost, 416
home, 344
star, 323
amazing, 480
before, 159
interest, 602
yet, 246
interesting, 221
enough, 195
screen, 268
sound, 481
again, 174
coming, 582
through, 143
beginning, 454
entertaining, 441
however, 190
school, 396
would, 62
despite, 466
when, 54
sure, 252
later, 303
director, 167
without, 209
there, 50
wife, 322
version, 310
rather, 247
our, 263
out, 46
doesn't, 152
perhaps, 382
i'd, 474
i'm, 146
turn, 471
ever, 126
for, 18
love, 119
went, 435
they're, 507
direction, 458
original, 204
action, 206
always, 210
play, 297
whole, 226
funny, 163
be, 30
br, 10
by, 34
line, 347
let, 387
right, 208
then, 95
them, 98
they, 36
just, 43
do, 81
evil, 445
the, 4
fight, 548
only, 64
episode, 390
friend, 464
short, 346
comes, 266
trying, 269
strong, 565
behind, 496
during, 315
seeing, 319
himself, 309
keep, 401
new, 162
recommend, 386
type, 552
girls, 539
there's, 225
felt, 421
black, 328
totally, 484
4, 470
wasn't, 286
b, 503
fun, 253
from, 39
themselves, 533
enjoy, 358
been, 77
no, 57
was, 16
and, 5
decent, 542
worse, 433
worst, 249
might, 238
car, 519
find, 169
use, 361
few, 171
heard, 557
looks, 272
other, 85
itself, 410
example, 463
film's, 598
brilliant, 530
city, 543
rest, 360
dark, 465
tv, 248
to, 8
person, 415
young, 185
try, 353
face, 393
fact, 192
highly, 545
enjoyed, 510
people, 84
way, 96
war, 325
certainly, 434
heart, 483
looking, 267
truly, 371
cannot, 566
between, 200
these, 134
low, 364
lot, 176
family, 223
takes, 304
wonderful, 389
game, 500
crap, 595
friends, 369
attempt, 589
side, 499
hollywood, 363
seen, 110
seem, 306
make, 97
anyone, 259
either, 345
film, 22
that's, 198
hard, 254
least, 222
supposed, 424
most, 91
simply, 331
act, 511
almost, 220
about, 44
under, 467
too, 99
especially, 262
murder, 588
mother, 452
everything, 285
sense, 281
1, 300
happened, 575
place, 273
given, 348
seems, 186
what, 51
known, 573
says, 560
nothing, 164
once, 280
their, 68
which, 63
until, 366
course, 265
quite, 179
say, 135
saw, 219
mean, 384
its, 94
movie, 20
mind, 330
dvd, 288
waste, 437
less, 329
chance, 580
lack, 583
humor, 486
james, 592
than, 74
title, 425
thinking, 536
that, 15
performances, 354
probably, 242
some, 49
plays, 299
him, 90
quality, 489
need, 359
piece, 418
better, 128
definitely, 407
ending, 277
10, 158
said, 301
left, 317
gore, 599
good, 52
big, 194
bit, 227
often, 400
drama, 453
others, 409
day, 251
loved, 447
voice, 544
must, 215
writing, 487
brother, 597
white, 428
come, 216
cinema, 438
5, 457
script, 229
believe, 264
art, 498
are, 26
because, 88
called, 446
wanted, 473
fans, 451
know, 124
getting, 397
i've, 207
<PAD>, 0
<START>, 1
<END>, 2
<OOV>, 3
